#sample	lat	lon	miosture	EC	salt	pH	TC	TN	TC/TN	NH4_N	NO3_N	TP	AP	TK	AK
"N12_1"	47.5488888888889	127.473055555556	0.31284303	86.1	0.8	5.81	40.03256864	3.78221	10.58443837	36.38178914	2.473961661	0.995345345	17.43	20.52552553	247.8
"N12_2"	47.5488888888889	127.473055555556	0.348167539	88.1	0.8	5.82	36.78433	3.4986	10.51401418	41.11485944	3.528514056	0.93529597	17.78	21.79628463	268.4
"N12_3"	47.5488888888889	127.473055555556	0.324099723	83.2	1	5.62	42.23275848	3.93347	10.73676893	36.24795082	2.367213115	0.837493143	14.83	19.7990949	231.85
"N13_1"	47.5861111111111	126.099166666667	0.254707631	198.2	2.2	7.2	32.21393	2.94144	10.95175492	32.06795213	5.63537234	0.84045957	37.94	20.87696335	285.4
"N13_2"	47.5861111111111	126.099166666667	0.242491657	177.5	1.8	7.25	29.46716	2.62485	11.22622626	31.55080764	2.904258443	0.790697674	34.85	20.12449444	276.65
"N13_3"	47.5861111111111	126.099166666667	0.268537074	186.8	1.8	7.22	31.63041	2.8466	11.11164547	33.22109589	4.648219178	0.796085859	31.945	20.99747475	295.25
"N14_1"	47.3236111111111	125.945833333333	0.220363636	85.9	1	7.27	25.58324725	2.44846	10.4487095	31.93796642	2.950093284	0.66549676	2.235	20.53185745	164.45
"N14_2"	47.3236111111111	125.945833333333	0.219879518	85	0.9	7.1	27.39269	2.66408	10.28223252	30.89266409	4.742857143	0.765056972	3.7	20.85255019	171.75
"N14_3"	47.3236111111111	125.945833333333	0.240986717	84.7	1	7.17	25.00736	2.32894	10.73765748	31.75175	2.76675	0.662265258	3.215	21.55589789	150.75
"N15_1"	46.8502777777778	126.472777777778	0.223731884	162.9	1.6	7.35	35.27276	3.27712	10.76334098	31.30361727	3.091715286	0.96145494	10.34	20.13436482	267.65
"N15_2"	46.8502777777778	126.472777777778	0.214430894	177.9	1.6	7.32	33.10491	3.02096	10.95840726	30.55109961	10.43829237	0.938921454	14.83	19.61679367	247.65
"N15_3"	46.8502777777778	126.472777777778	0.222546161	147.3	1.6	7.26	34.07578	3.16884	10.75339241	30.741375	3.087	1.055359246	23.25	22.17682568	236.6
"N16_1"	46.6130555555556	127.005277777778	0.148663102	65.5	0.4	5.67	27.31361	2.25	12.13938222	29.36557789	2.466708543	1.253627394	32	21.67367963	186.05
"N16_2"	46.6130555555556	127.005277777778	0.159521436	47.9	0.4	5.56	26.54	2.3	11.53913043	29.86393832	2.974495848	1.332155477	35.085	23.00239778	197.6
"N16_3"	46.6130555555556	127.005277777778	0.158947368	54.8	0.4	5.62	27.6594	2.20404	12.54940927	28.89236546	2.021276596	1.386923077	39.735	22.34935897	222.2
"N17_1"	46.4269444444444	127.118611111111	0.227376426	72	0.8	6.36	30.18726331	2.408715386	12.53251567	31.58070866	2.976870079	1.10997191	8.785	19.89115169	170.3
"N17_2"	46.4269444444444	127.118611111111	0.261886204	73.8	0.8	6.32	30.74	2.419639056	12.7043742	32.51531151	2.438648363	0.977673493	7.13	20.31427759	150.4
"N17_3"	46.4269444444444	127.118611111111	0.286121673	80.2	1	6.28	30.71963837	2.599814799	11.8160872	33.75925433	2.80159787	1.114803195	8.695	19.49158585	144.9
"N18_1"	42.9327777777778	124.205833333333	0.080675422	40.2	0.4	6.01	8.99826	0.99148	9.075583975	26.75877551	1.740408163	0.617590028	14.105	22.63850416	70.85
"N18_2"	42.9327777777778	124.205833333333	0.085510689	42.9	0.4	5.98	8.63	0.90409	9.54550985	26.35350649	1.64025974	0.666666667	13.8	23.12068424	71.6
"N18_3"	42.9327777777778	124.205833333333	0.089108911	41.8	0.4	5.75	8.095536572	0.84662	9.562184418	26.34782609	1.64673913	0.646843292	10.695	23.56257046	76.75
"N2_1"	49.1461111111111	125.61	0.279778393	99.3	1	6.12	43.01539946	3.762535285	11.43255709	35.26692308	5.553846154	1.020535714	12.32	20.95833333	195.25
"N2_2"	49.1461111111111	125.61	0.248785228	100.2	1	6.07	45.80601449	4.080086658	11.22672588	33.27943079	4.65912031	1.141957105	14.97	20.64276139	220.05
"N2_3"	49.1461111111111	125.61	0.272309108	91.2	1.2	6.03	44.02246048	3.872394892	11.3682777	34.08040455	3.16068268	1.088391502	13.975	20.54881133	191.9
"N20_1"	43.0419444444444	124.173055555556	0.149659864	61.8	0.6	6.1	17.18464	1.81636	9.461031954	29.4	5.5272	0.665141956	15.335	22.36198738	228.25
